index,company,body-style,wheel-base,length,num-of-cylinders,horsepower,average-mileage,price
0,alfa-romero,convertible,88.6,168.8,four,111,21,13495.0
1,alfa-romero,convertible,88.6,168.8,four,111,21,16500.0
2,alfa-romero,hatchback,94.5,171.2,six,154,19,16500.0
3,audi,sedan,99.8,176.6,four,102,24,13950.0
4,audi,sedan,99.4,176.6,five,115,18,17450.0
5,audi,sedan,99.8,177.3,five,110,19,15250.0
6,audi,wagon,105.8,192.7,five,110,19,18920.0
9,bmw,sedan,101.2,176.8,four,101,23,16430.0
10,bmw,sedan,101.2,176.8,four,101,23,16925.0
11,bmw,sedan,101.2,176.8,six,121,21,20970.0
13,bmw,sedan,103.5,189.0,six,182,16,30760.0
14,bmw,sedan,103.5,193.8,six,182,16,41315.0
15,bmw,sedan,110.0,197.0,six,182,15,36880.0
16,chevrolet,hatchback,88.4,141.1,three,48,47,5151.0
17,chevrolet,hatchback,94.5,155.9,four,70,38,6295.0
18,chevrolet,sedan,94.5,158.8,four,70,38,6575.0
19,dodge,hatchback,93.7,157.3,four,68,31,6377.0
20,dodge,hatchback,93.7,157.3,four,68,31,6229.0
27,honda,wagon,96.5,157.1,four,76,30,7295.0
28,honda,sedan,96.5,175.4,four,101,24,12945.0
29,honda,sedan,96.5,169.1,four,100,25,10345.0
30,isuzu,sedan,94.3,170.7,four,78,24,6785.0
33,jaguar,sedan,113.0,199.6,six,176,15,32250.0
34,jaguar,sedan,113.0,199.6,six,176,15,35550.0
35,jaguar,sedan,102.0,191.7,twelve,262,13,36000.0
36,mazda,hatchback,93.1,159.1,four,68,30,5195.0
37,mazda,hatchback,93.1,159.1,four,68,31,6095.0
38,mazda,hatchback,93.1,159.1,four,68,31,6795.0
39,mazda,hatchback,95.3,169.0,two,101,17,11845.0
43,mazda,sedan,104.9,175.0,four,72,31,18344.0
44,mercedes-benz,sedan,110.0,190.9,five,123,22,25552.0
45,mercedes-benz,wagon,110.0,190.9,five,123,22,28248.0
46,mercedes-benz,sedan,120.9,208.1,eight,184,14,40960.0
47,mercedes-benz,hardtop,112.0,199.2,eight,184,14,45400.0
49,mitsubishi,hatchback,93.7,157.3,four,68,37,5389.0
50,mitsubishi,hatchback,93.7,157.3,four,68,31,6189.0
51,mitsubishi,sedan,96.3,172.4,four,88,25,6989.0
52,mitsubishi,sedan,96.3,172.4,four,88,25,8189.0
53,nissan,sedan,94.5,165.3,four,55,45,7099.0
54,nissan,sedan,94.5,165.3,four,69,31,6649.0
55,nissan,sedan,94.5,165.3,four,69,31,6849.0
56,nissan,wagon,94.5,170.2,four,69,31,7349.0
57,nissan,sedan,100.4,184.6,six,152,19,13499.0
61,porsche,hardtop,89.5,168.9,six,207,17,34028.0
62,porsche,convertible,89.5,168.9,six,207,17,37028.0
66,toyota,hatchback,95.7,158.7,four,62,35,5348.0
67,toyota,hatchback,95.7,158.7,four,62,31,6338.0
68,toyota,hatchback,95.7,158.7,four,62,31,6488.0
69,toyota,wagon,95.7,169.7,four,62,31,6918.0
70,toyota,wagon,95.7,169.7,four,62,27,7898.0
71,toyota,wagon,95.7,169.7,four,62,27,8778.0
79,toyota,wagon,104.5,187.8,six,156,19,15750.0
80,volkswagen,sedan,97.3,171.7,four,52,37,7775.0
81,volkswagen,sedan,97.3,171.7,four,85,27,7975.0
82,volkswagen,sedan,97.3,171.7,four,52,37,7995.0
86,volkswagen,sedan,97.3,171.7,four,100,26,9995.0
87,volvo,sedan,104.3,188.8,four,114,23,12940.0
88,volvo,wagon,104.3,188.8,four,114,23,13415.0
